                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 0.5705,                0.64362,                 1.0754,                0.59127,                0.63534,                0.71008,                0.57198,                 1.2388,                 1.5647,                 1.6731,             0.00054786,             0.00054786,             0.00054786
                    131,                0.65994,                0.75483,                 1.1138,                0.61777,                0.71701,                0.70647,                0.54372,                 1.1786,                 1.6195,                 1.6031,             0.00054346,             0.00054346,             0.00054346
                    132,                0.61294,                0.70967,                 1.0851,                0.70727,                0.69954,                0.74431,                0.61401,                 1.0237,                 1.4151,                 1.4893,             0.00053906,             0.00053906,             0.00053906
                    133,                0.59099,                0.69707,                  1.082,                0.80726,                0.77613,                0.85327,                0.62618,                 1.0044,                 1.1859,                  1.444,             0.00053466,             0.00053466,             0.00053466
                    134,                0.62575,                 0.6734,                 1.0925,                0.79409,                0.78402,                0.83086,                0.66147,                0.88034,                0.95871,                 1.3378,             0.00053026,             0.00053026,             0.00053026
                    135,                 0.6393,                0.69204,                 1.1052,                0.89159,                 0.7791,                0.86528,                0.69716,                0.86098,                0.81971,                 1.3554,             0.00052586,             0.00052586,             0.00052586
                    136,                0.56479,                0.63346,                 1.0766,                0.93223,                0.78571,                0.85381,                0.67229,                0.97323,                0.87589,                 1.4339,             0.00052146,             0.00052146,             0.00052146
                    137,                0.58345,                0.65678,                 1.0687,                0.75239,                0.78602,                0.78521,                0.65298,                 1.0256,                 1.0674,                 1.4612,             0.00051706,             0.00051706,             0.00051706
                    138,                0.61983,                 0.6553,                 1.0784,                0.69453,                0.73439,                 0.7691,                0.66357,                0.89222,                0.94701,                 1.3539,             0.00051266,             0.00051266,             0.00051266
                    139,                0.60483,                0.66724,                 1.0905,                0.65025,                0.74846,                0.76779,                0.64805,                 1.0563,                 1.0925,                 1.4728,             0.00050826,             0.00050826,             0.00050826
                    140,                0.55128,                0.63304,                 1.0552,                0.89185,                0.65632,                0.85537,                0.66863,                 1.0162,                 1.1882,                 1.4173,             0.00050386,             0.00050386,             0.00050386
                    141,                0.57581,                0.67262,                 1.0622,                0.81479,                0.63914,                0.81282,                0.66774,                0.92403,                 1.1421,                  1.329,             0.00049946,             0.00049946,             0.00049946
                    142,                0.56111,                0.63257,                 1.0869,                0.68629,                0.71937,                0.75661,                0.61028,                0.80938,                 1.0255,                 1.2178,             0.00049506,             0.00049506,             0.00049506
